# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# This file may be modified for personal use only; any modified version
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#  Where I havent found a foundry - as a last resort - lets stick
#  it into a folder of the program that created them

by ALLTYPE	_AllType
BEUAH	Beuah
Beus	Beus
Beyond Design	Beyond Design
"copyright by BfdS, Hannover"	BFDS
Bhaktivedanta Book Trust	Bhaktivedanta Book Trust
Michael S.copy	Bible Works
BibleWorks	Bible Works
Bibliographisches Institut	Bibliographisches Institut
BigMisterC	Big Mister C
BigToeDesigns	Big Toe Designs
BigTop Productions	Big Top Productions
Bigelow & Holmes	Bigelow & Holmes
bigelow &holmes	Bigelow & Holmes
BillyBear4Kids	Billy Bear 4 Kids
BIndustries Heavy Metal	BIndustries Heavy Metal
bionic type	Bionic Type
Birdy	Birdy
BitMapMania	Bit Map Mania
BitStream	Bitstream
BK Free Fonts	BK Free Fonts
Black Dog Studios	Black Dog Studios
Black Mantis Operations	Black Mantis Operations
Blackman Concepts	Blackman Concepts
blambot	BlamBot Fonts
BleuTuna	Bleu Tuna
BLM NARSC	BLM NARSC
Blu Creative Media	Blu Creative Media
TheBlueJoker	Blue Joker
Benoit 'BlueRats' Desprez	Blue Rats
Benoit DESPREZ	Blue Rats
bluerats	Blue Rats
les rats bleus	Blue Rats
Les Rats Blue	Blue Rats
Blue Room FontWorks	Blue Room Font Works
Blue Vinyl Fonts	Blue Vinyl Fonts
bluevinyl	Blue Vinyl Fonts
BV Fonts	Blue Vinyl Fonts
bvfonts.com	Blue Vinyl Fonts
Jess Latham	Blue Vinyl Fonts
Blue Jay Font Studio	Bluejay Font Studio
bluejay font studio	Bluejay Font Studio
BluHead Studio	BluHead Studio
Boba Fonts	Boba Fonts
Bodhi-Creations	Bodhi Creations
bold ?design	Bold Design
Bold Monday	Bold Monday
Bolt Cutter Design	Bolt Cutter Design
BoltCutterDesign	Bolt Cutter Design
BoltonBros	Bolton Bros
BombHaus Digital Foundry	BombHaus Digital Foundry
Bomparte?s Fonts	Bomparte's Fonts
Bonneville Electronics	Bonneville Electronics
Boogie Jack	Boogie Jack
Boomerang Software	Boomerang Software
Borna Rayaneh	Borna Rayaneh Co
Bosskete	Bosskete
Bou Fonts	Bou Fonts
Boutros International	Boutros International
Bpg?infotech	BPG InfoTech
BPG? InfoTech Co	BPG InfoTech
Bradley Productions	Bradley Productions
B-Rain	B-Rain
Brain Eaters	Brain Eaters Font Company
BrainEaters.com	Brain Eaters Font Company
Brain Stew  Fonts	Brain Stew Fonts
Brain Stew Fonts	Brain Stew Fonts
brass design	Brass Fonts
/b     r    a   s  S	Brass Fonts
BRASS_FONTS	Brass Fonts
Brendel Informat	Brendel Informatik
BridgeCo	Bridge Co
BRIDGE INC	Bridge Inc
Bright Ideas	Bright Ideas
software of the month club	Bright Ideas
The Bright Side	Bright Side
British Airways	British Airways
British Telecommunications	British Telecommunications
Br?derbund Software	Broderbund Software
BrokenOutlet	Broken Outlet
Brother Industries	Brother Industries
Brownfox	Brownfox
Browny	Browny
Gustavo Lassala	BRType
Bruges Scriptorium	Bruges Scriptorium
B u d d h a   G r a p h i x	Buddha Graphix
Buddha Graphix	Buddha Graphix
Bulka	Bulka
Bumbayo	Bumbayo Font Fabrik
Burger King Corporation	Burger King Corporation
burghal design	Burghal Deign
burner font	Burner Font
Bureau Destruct	Buro Destruct
b?ro destruct	Buro Destruct
bro destruct	Buro Destruct
buro destruct	Buro Destruct
H1reber	Buro Destruct
Heiwid:buro	Buro Destruct
Lopetz	Buro Destruct
Peter Korsman	Buro Destruct
TypeDifferent	Buro Destruct
Burritos do Brasil	Burritos do Brasil
ButtFaces	Butt Faces
B/W Fontworks	BW Fontworks
BX Fonts	BX Fonts
by KEIY	By KEIY
Byte-Sized Computing	Byte Sized Computing
C-DIT@CLT	Center for Linguistic Computing
c.a. paveglio	CA Paveglio
Cadgraf Computers	Cadgraf Computers
cafe design	Cafe Design
CAIL Systems	CAIL Systems
cal arts	Calarts
CalArts	Calarts
California ClipArt	California ClipArt
California Cosmo	California Cosmo
callahan@2street.com	Callahan Street
CalliFonts	CalliFonts
Calligraphics	Calligraphics
calmius software	Calmius Software
Cambodian Software Dev	Cambodian Software Development
Cambridge FontWorks	Cambridge Font Works
Canada Type	Canada Type
CandeeKis	Candee Kiss
CandyFingers	Candy Fingers
candy machine	Candy Machine
Candyhouse	Candyhouse
Cannibal Fonts	Cannibal Fonts
Canon Computer Systems	Canon Computer Systems
canon ltd	Canon Ltd
Canonical Ltd	Canonical Ltd
Cantax	Cantax
CAPCOM	CAPCOM
Cape?Arcona	Cape Arcona Type Foundry
Capsule Machine	Capsule Machine
Carbello	Carbello
Care Typography	Care Typography
Carichini	Carichini
Carini Type Foundry	Carini Type Foundry
Carpe Saponem Fonts	Carpe Saponem Fonts
CarpeSaponem Fonts	Carpe Saponem Fonts
Carpenter Type	Carpenter Type
carrie fairy	Carrie Fairy
Carter & Cone Type	Carter & Cone Type
Carter&ConeTypeInc	Carter & Cone Type
Typeface ? Cartoons	Cartoons
CAS Trading House	CAS Trading House
Casa 199?	Casa
Casady & Greene	Casady & Greene
PJ Cassel Designs	Cassel Designs
CastCraft	CastCraft Software
Castle Systems	Castle Systems
castletype	Castle Type
CAt_HOUSE	Cat House
Catapult Entertainment	Catapult Entertainment
CBOT	CBOT
CC Font ManipSysteme	CC Font ManipSystems
CC Font ManipSystems	CC Font ManipSystems
CC Greetings	CC Greetings
CCW Weischer	CCW Weischer
C-DIT	C-DIT
cdexpert	CDExpert Software
C-E Communications	CE Communications
Celtic-Faery	Celtic Faery
Cemtlo	Cemtlo
Center for Sutton Movement Writing	Center for Sutton Movement Writing
Centre for Computer-Aided Egyptological Research	Centre for Computer Aided Egyptological Research
CENTRIC STUDIOS	Centric Studios
CERIS Ltd	CERIS Ltd
Ceviz. Net	Ceviz Net
Ceviz.Net	Ceviz Net
199? CH Fonts	CH Fonts
#CH Fonts	CH Fonts
chainreact media	Chainreact Media
Chameleon Graphics	Chameleon Graphics
Changzhou SinoType	Changzhou SinoType
Cake Publications	Chank
Chank	Chank
Exploding	Chank
Schmoppyright	Chank
Schmopyright	Chank
Channel Zero	Channel Zero
Chaos Fonts	Chaos Fonts
chaos inc	Chaos Inc
ChaosMedia	Chaos Media
Chaos Microsystems	Chaos Microsystems
Characters Font Foundry	Characters Font Foundry
© Character	Characters Font Foundry
©Character	Characters Font Foundry
#? Characte	Characters Font Foundry
(c) Character	Characters Font Foundry
/c/ character	Characters Font Foundry
by Character	Characters Font Foundry
Charlie Brown Design	Charlie Brown Design
chatterbox	Chatter Box
CheapChicks	Cheap Chicks
CheapSkateFonts	Cheap Skate Fonts
Cheap Thrills	Cheap Thrills
CheapProFonts	CheapProFonts
Chego	Chego
Cheops Communications	Cheops Fonts
Cheops Fonts	Cheops Fonts
web.idirect.com	Cheops Fonts
CherryLane Designs	CherryLane Designs
ChessBase	Chess Base
chester copr	Chester Copr
Chetona Software Cafe	Chetona Software Cafe
Chevalier Gris Digital Foundry	Chevalier Gris Digital Foundry
Chichester Historical Society	Chichester Historical Society
ChildBook	Child Book
China Kommission	China Kommission
ChipHead	Chip Head
Chiwa	Chiwa
CHK Design	CHK Design
chkdesign ltd	CHK Design
christian k?sters	CHK Design
christian ksters	CHK Design
Chlorine Corp	Chlorine Corp
Christian Theo Boer	Christian Theo Boer
Christian Creations	Christian Creations
www.cHristopdesign	cHristopdesign
Church Of The SubGenius	Church Of The Sub Genius
cihpargraphic	Cihpargraphic
Circa Studios	Circa Studios
Cirilicna	Cirilicna
JLR -- CK Corners	CK Corners
ckrule@geocities	CK Rule
Classic Font Company	Classic Font Company
Classic Font Corporation	Classic Font Corporation
ClassicFontCorporation	Classic Font Corporation
Classical Mongolian	Classical Mongolian
Clearlight	ClearLight Fonts
CloneFonts	Clone Fonts
CLOPS	Clops
close fonts	Close Fonts
closeFonts	Close Fonts
club twenty?one	Club Twenty One
Club Tweny-One	Club Twenty One
clysmic software	Clysmic Software
CMFonts	CM Fonts
Generated by CML	CML Newbombay
Co & Co	Co & Co
Co+Co	Co & Co
I2f/Coba	Coba
Cocijotype	Cocijotype
Cock-a-Doodle Design	Cock-a-Doodle Design
Coda Music Technology	Coda Music Technology
codeman38	Codeman
Cognition Corp	Cognition Corp
Coin??Toss Productions	Coin Toss Productions
Coin?Toss Productions	Coin Toss Productions
Coktel	Coktel
Colored Eye Graphics	Colored Eye Graphics
Columbia University	Columbia University
Comandozeta	Comandozeta
Comania Design	Comania Design
Come Unbound Typehouse	Come Unbound Typehouse
ComicBabies	Comic Babies
Active Images	Comicraft
Comicraft	Comicraft
Commodore Business Machines	Commodore Business Machines
Communications Shop	Communications Shop
Communicative Arts	Communicative Arts	# Adobe
Comprex	Comprex
Compton's NewMedia	Compton's NewMedia
CompuFont Ltd	CompuFont Ltd
CompuGraphic Corporation	CompuGraphic Corporation
Computer and Technologie	Computer and Technologie
Computer Application Specialties	Computer Application Specialties
Computer Curriculum Corporation	Computer Curriculum Corporation
Computer Logic R&D	Computer Logic R&D
Computer Safari	Computer Safari
Computer Solutions	Computer Solutions
Computer S?pport Corp	Computer Support Corporation
Computer Village	Computer Village
CompuWorks	CompuWorks
Conexion	Conexion
Coniglio Communications	Coniglio
CONIGLIO USA	Coniglio
Connie's Creations	Connie's Creations
ConstantinMedia	Constantin Media
ConversionsPlus	Conversions Plus Software
#Cool?Fonts	Cool Fonts
Coptic Font Standard	Coptic Font Standard Project
coptic standard project	Coptic Font Standard Project
Copyright of NoOne	Copyright Of No One
Corazon Web Design	Corazon Web Design
Corel Corporation	Corel Corporation
Corel Systems	Corel Systems
Corianton	Corianton
Cortex Software	Cortex Software
199? COSMI	COSMI
Cosmic-Cosmos	Cosmic Cosmos
CosmicGraphics	Cosmic Graphics
Cosmo Soft	Cosmo Soft
Cosmonaut Fonts	Cosmonaut Fonts
Cosmorama Enterprises	Cosmorama Enterprises
Cossack	Cossack
Cottage Graphics	Cottage Graphics
C o w a n   D e s i g n	Cowan Design
Cowan Design Associates	Cowan Design
CozyFonts	Cozy Fonts
CPPP	CPPP
Crack-A-Jack Studios	Crack-A-Jack Studios
Craftopia	Craftopia
Cranbrook Design	Cranbrook Design
CrankEmOut	Crank Em Out
Crazy Diamond Design	Crazy Diamond Design
Create Mind Co	Create Mind Co
Create Soft Collection	Create Soft Collection
Createk Ltd	Createk Ltd
Creating Keepsakes	Creating Keepsakes
CK Media	Creating KeepSakes
creaking keepsakes	Creating KeepSakes
creative commons	Creative Commons
creative software designs	Creative Software Designs
creative type & graphics	Creative Type & Graphics
www.crg.cl	CRG Marketing
Action King	Crime Design
Critzler	Critzler
Cross Colours	Cross Colours
CRULP	CRULP
CSP BackGrounds	CSP Backgrounds
Cumberland Games	Cumberland Games & Diversions
Cumberlandgames	Cumberland Games & Diversions
Curium Design	Curium Design
cut@home	Cut At Home
Cutie Pi	Cutie Pi
CuttleFish Fonts	CuttleFish Fonts
Typeface ? CuttyFruty	CuttyFruty
cwTeX Developement	cwTeX Developement
CybaPee	CybaPee Creations
Cyberbuny Creations	Cyberbuny Creations
Cyberotica	Cyberotica
CyberScape MultiMedia	CyberScape MultiMedia
Cyclone Graphix	Cyclone Graphix
cyclonegraphix	Cyclone Graphix
Cyreal.org	Cyreal.org
#D & R!!	D & R
D-Studio	D Studio
Da Font Mafia	Da Font Mafia
www.daaams.fr.st	daaams.fr
Dainippon Screen Mfg	Dainippon Screen Mfg. Co.
Dainippon Typo Association	Dainippon Typo Association
Dalat Technique	Dalat Technique
daltonmaag	Dalton Maag Limited
Dalton Maag	Dalton Maag Limited
Damedame Corporation	Damedame Corporation
Danish Type Designers	Danish Type Designers
Darden Studio	Darden Studio
darden.com	Darden Studio
Joshua Darden	Darden Studio
DarkAngelGenesis	Dark Angel Genesis
DarkSunMoonProductions	Dark Sun Moon Productions
Darklight Systems	Darklight Systems
DASH Software	DASH Software
Dasklem	Dasklem
Data Becker	Data Becker
Data Blocks	Data Blocks
DataCal Software	Data Cal Software
Data-Cal Software	Data Cal Software
Datacopr	Data Copr
Datalook	Datalook
Dataman Barcode	Dataman Barcode
Datecs Ltd	Datecs Ltd
David Occhino Design	David Occhino Design
David Thometz Design	David Thometz Design
Davka Corp	Davka Corporation
Dazzling Designs	Dazzling Designs
dazzlingdesigns	Dazzling Designs
DCSI	DCSI
dCTRL	dCTRL
Copyright 199? DD3	DD3
DDI Design	DDI Design
De Nada Industries	De Nada Industries
de-structure	De Structure
Dead Man Fonts	Dead Man Fonts
Dear Alison Font	Dear Alison Fonts
Dear Book Co	Dear Book Co
Dearborn Ornaments Copr	Dearborn Ornaments
DEATH?HAND	Death Hand Graphics
Deathrockstar	DeathRockStar
DeFaced Fonts	DeFaced Fonts
defaulterror	DefaultError
Deffeyes Design	Deffeyes Design
DEGA ?Systems	DEGA Systems
DeLuxe.Font	Deluxe Font
delve media arts	Delve Media Arts
DemaSoft	Dema Soft
Demo Company	Demo Company
demo.com.hk	Demo Company
DemonHill Font Factory	Demonhill Font Factory
demonhill font works	Demonhill Font Factory
Demonhill FontFactory	Demonhill Font Factory
DemonhillFontFactory	Demonhill Font Factory
Denenchofu Design	Denenchofu Design
Deniart Systems	Deniart Systems
Deniz Elektronik Lab	Deniz Elektronik Lab
DentaGraphics	Denta Graphics
Design 76 Type	Design 76 Type
Design Bureau	Design Bureau
Design Conspiracy	Design Conspiracy
design difference	Design Difference
designsalon	Design Salon
Design Science	Design Science
Crea  ion	Design Studio Creation
Design s??udio Crea??ion	Design Studio Creation
Design studio Creation	Design Studio Creation
Designstudios	Design Studios
DesignByLime	DesignByLime
Design By Lime	DesignByLime
Designershock	Designer Shock
Designings	Designings
by Desiree	Desiree
Destiny's Lady	Destiny's Lady
Detlef Reimers	Detlef Reimers
