# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# of this file may not be distributed or published by any means.
# This file may be modified for personal use only; any modified version	
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#Name1	name2
!@##$%	Jack Keene
!@#$%	Jack Keene
!@$%	Jack Keene
"(c) eVe, "	Eve
Alexander Meyer	Alexander Meyer
Alexander Nedelev	Alexander Nedelev
Alexander Phemister	Alexander Phemister
Alexander Pompeev	Alexander Pompeev
Alexander Powell	Alexander Powell
Alexander Ruehl	Alexander Ruehl
Alexander R?hl	Alexander Ruehl
Alexander Sperl	Alexander Sperl
Alexander Tarbeev	Alexander Tarbeev
Alexander Thomas	Alexander Thomas
Alexander Tomlinson	Alexander Tomlinson
Alexander Walter	Alexander Walter
Alexander Wise	Alexander Wise
alexandra bouwsma	Philip Bouwsma
Alexandra Gophmann	A L Gophmann
Alexandra Korolkova	Alexandra Korolkova
Alexandra Leopoldovna Gophmann	A L Gophmann
Alexandras Stempelkasten	Alexandras Stempelkasten
Alexandre Maltais	Alexandre Maltais
Alexandria Gophmann	A L Gophmann
Alexei Chekoulaev	Alexei Chekoulaev
Alexej Kryukov	Alexej Kryukov
Alexey Arhipov	Alexey Arhipov
Alexey Bokov	Alexey Bokov
Alexey Frolov	Alexey Frolov
Alexey Isaev	Alexey Isaev
Alexey Kolpikov	Alexey Kolpikov
Alexey Kryukov	Alexey Kryukov
Alexey Kustov	Alexey Kustov
Alexey Maslov	Alexey Maslov
Alexey Melnikov	Alexey Melnikov
Alexey Rud	Alexey Rud
Alexgollner	Alex Gollner
Alexis Merlault	Alexis Merlault
alexis v. ryumin	Alexis V Ryumin
Alfie Hellier	Alfie Hellier
Alfons Muntean	Alfons Muntean
Alfonse Mucha	Alfonse Mucha
Alfred Fairbank	Alfred Fairbank
Alfred Mahlau	Alfred Mahlau
Alfred R. Bosco	Alfred R Bosco
Alfred Smeets	Alfred Smeets
Alfred Tilp	Alfred Tilp
Alfredo Graziani	Alfredo Graziani
Ali Ishtiaq	Ali Ishtiaq
Alice Savoie	Alice Savoie
Alice Watchol	Alice Watchol
Alicia Carlston	Alicia Carlston
Alicia Souza	Alicia Souza
Alim Ahat	Alim Ahat
Alisa Nowak	Alisa Nowak
Alison Argento	Alison Argento
Allan Crawford	Allan Crawford
Allan Matthews	Allan Matthews
allan meeks	Alan Meeks
allan murray	Allan Murray
Allen Crawford	Allen Crawford
Allen Mercer	Allen Mercer
Allen R. Walden	Allen R Walden
Allen Zuk	Allen Zuk
Allessio Leonardi	Alessio Leonardi
Alessio Leonardi	Alessio Leonardi
Alessio  Leonardi	Alessio Leonardi
Alli Paterson	Alli Paterson
Allie Barnes	Allie Barnes
Almamoun Ahmed	Almamoun Ahmed
Alois Menacher	Alois Menacher
Alonzo Felix	Alonzo Felix
alper ide	Alper Ide
alter ego fonts	Brian Sooy
Alvaro Thomaz	Alvaro Thomaz
Alvin Kwan	Alvin Kwan
Amanat Goher	Amanat Goher
Amanda Galindo Martinez	Amanda G Martinez
Amanda Martinez	Amanda G Martinez
amanda mcgee	Amanda McGee
Amber Booler	Amber Booler
Ambroise Maupate	Ambroise Maupate
Ambrus Weishappel	Ambrus Weishappel
Amir Ashkenazi	Amir Ashkenazi
Amir El Habashy	Amir El Habashy
Amit Kumar	Amit Kumar
amitbotre	Amit Botre
Amond? Szegi	Amondo Szegi
Amond\227 Szegi	Amondo Szegi
Amy Brown	Amy R Brown
Amy Conger	Amy Conger
Amy Gardner	Amy Gardner
Amy Greenan	Amy Greenan
Amy Grendell	Amy Grendell
Amy Hollen	Amy Hollen
Amy R. Brown	Amy R Brown
Amy Wong	Amy Wong
Ana Calliari	Ana Calliari
Ana Flaaker	Ana Flaaker
Ana Paula Filipi Putka	Ana P F Putka
Ana Paula Megda	Ana P Megda
Ana Pereira	Ana Pereira
Ana Putka	Ana Putka
Ana Sanfelippo	Ana Sanfelippo
AnaGuerra	Ana Guerra
Ananda Holland	Ananda Holland
Ananda K. Maharjan	Ananda K Maharjan
Ananda Maharjan	Ananda K Maharjan
Anastacia E. Zittel	Anastacia E Zittel
Anastacia Zittel	Anastacia Zittel
Anatole	Anatole
Anatoly Shchukin	Anatoly Shchukin
Andeh Pinkard	Andeh Pinkard
Anders Bodebeck	Anders Bodebeck
Anders Francker	Anders Francker
Anderson Maschio	Anderson Maschio
Andi Aw. Masry	Andi Aw Masry
Andi Darnell	Andi Darnell
andi jones	Andi Jones
Andi Masry	Andi Masry
Andr? G. Isaak	Andre G Isaak
Andr?? G. Isaak	Andre G Isaak
Andr? G?rtler	Andre Guertler
Andr? Leonart	Andre Leonhardt
Andr? Leonhardt	Andre Leonhardt
Andr? M?ller	Andre Mueller
Andr? Maa?en	Andre Maassen
Andr? Noboru Uenojo	Andre Noboru Uenojo
Andr? Nossek	Andre Nossek
Andr? Simard	Andre Simard
Andre Waitz	Andre Waitz
Andr? Tanaka	Andr? Tanaka
Andr? Uenojo	Andr? Uenojo
Andr?-Michel Lubac	Andre-Michel Lubac
Andre Allaguy-Salachy	Andre Allaguy-Salachy
Andre Kniepkamp	Andre Kniepkamp
Andre Kuzniarek	Andre Kuzniarek
andre owen	Andre Owen
Andre Waitz	Andre Waitz
Andrea Bartsch	Andrea Bartsch
Andrea Braccaloni	Andrea Braccaloni
Andrea Cerboneschi	Andrea Cerboneschi
Andrea Dnotte	Andrea Dnotte
Andrea H. Stuart	Andrea H Stuart
Andrea Pinchi	Andrea Pinchi
Andrea Tinnes	Andrea Tinnes
Andrea Wiklund	Andrea Wiklund
Andreas Carlsson	Andreas Carlsson
Andreas Eigendorf	Andreas Eigendorf
Andreas Frohloff	Andreas Frohloff
Andreas Gebert	Andreas Gebert
Andreas H. & Hubchy	Andreas Hofeld
Andreas H?feld	Andreas Hofeld
Andreas Hild	Andreas Hild
andreas h\232feld	Andreas Hofeld
Andreas Inde	Andreas Inde
Andreas Johansson	Andreas Johansson
Andreas Jung	Andreas Jung
Andreas Karl	Andreas Karl
A. Klimek-Falke	Andreas Klimek-Falke
Andreas Koch	Andreas Koch
Andreas Kuechel	Andreas Kuechel
Andreas Leonidou	Andreas Leonidou
Andreas Lindholm	Andreas Lindholm
Andreas Lindkvist	Andreas Lindkvist
andreas m. nylin	Andreas Nylin
Andreas Nylin	Andreas Nylin
Andreas Pihlstr?m	Andreas Pihlstroem
Andreas Seidel	Andreas Seidel
Andreas Sie?	Andreas Sie?
Andreas St?tzner	Andreas Staetzner
Andreas Staetzner	Andreas Staetzner
Andreas Stoetzner	Andreas Stoetzner
Andreas Vossinakis	Andreas Vossinakis
Andreas Weygandt	Andreas Weygandt
andreas@lindkvist	Andreas Ekberg
andreas@lindkvist.com	Andreas Lindkvist
andreev alexander	Alexander Andreev
Andrei Zhitkov	Andrei Zhitkov
Andrej Kr?tky	Andrej Kratky
Andrej Waldegg	Andrej Waldegg
Andrejs Grinbergs	Gustavs A Grinbergs
Andres Aarik	Andres Aarik
Andres Sanchez	Andres Sanchez
Andres Torresi	Andres Torresi
Andressa Ribeiro	Andressa Ribeiro
andreu balius	Andreus Balius
Andreus Balius	Andreus Balius
andrew  Galarza	Andrew Galarza
Andrew Babb	Andrew Babb
Andrew Bargeron	Andrew Bargeron
Andrew Bertram	Andrew Bertram
Andrew Bevan	Andrew Bevan
Andrew Blevins	Andrew Blevins
Andrew Booth	Andrew Booth
Andrew Boyle	Andrew Boyle
Andrew D. Taylor	Andrew D Taylor
Andrew Fitzsimon	Andrew Fitzsimon
Andrew Footit	Andrew Footit
Andrew Foster	Andrew Foster
andrew fuller	Andrew Fuller
Andrew Galarza	Andrew Galarza
Andrew Graham	Andrew Graham
Andrew H. Leman	Andrew H Leman
Andrew Leman	Andrew H Leman
Andrew Hart	Andrew Hart
Andrew Hullinger	Andrew Hullinger
Andrew Hungerford	Andrew Hungerford
andrew j. gryc	Andrew J Gryc
Andrew Joseph Marchetta	Andrew Joseph Marchetta
Andrew Lander	Andrew Lander
Andrew Leman	Andrew H Leman
Andrew Lockhart	Andrew Lockhart
Andrew M. Fountain	Andrew M Fountain
Andrew Marchetta	Andrew Marchetta
Andrew Mccluskey	Andrew Mccluskey
Andrew Newman	Andrew Newman
Andrew Newton	Andrew Newton
andrew p smith	Andrew P Smith
Andrew P. Smith	Andrew P Smith
Andrew Paglinawan	Andrew Paglinawan
andrew s. meit	Andrew S Meit
Andrew Smith	Andrew P Smith
Andrew Tyler	Andrew Tyler
Andrew Weed	Andrew Weed
Andrey Belonogov	Andrey Belonogov
Andrey Chernevich	Andrey Chernevich
Andrey Kryukov	Andrey Kryukov
Andrey Kudryavtsev	Andrey Kudryavtsev
Andrey Melman	Andrey Melman
Andrey Panov	Andrey Panov
andrey v. maltsev	Andrey V Maltsev
Andrey V. Panov	Andrey V Panov
Andria Wiser	Andria Wiser
Andrij Shevchenko	Andrij Shevchenko
AndrijType	Andrij Shevchenko
Andriy Konstantynov	Andriy Konstantynov
Andryushkin Artem	Andryushkin Artem
Andrzej Wartkowsky	Andrzej Wartkowsky
Andy & Matt Krahling	Andy Krahling
Andy Beaumont	Andy Beaumont
Andy Benedek	Andy Benedek
Andy Chung	Andy Chung
Andy Cruz	Andy Cruz
Andy Greer	Andy Greer
Andy Hullinger	Andrew Hullinger
Andy Kennedy	Andy Kennedy
Andy Krahling	Andy Krahling
Andy Lines	Andy Lines
Andy Naylor	Andy Naylor
Andy Stockley	Andy Stockley
Aneel Nazareth	Aneel Nazareth
anekawa taku	Anekawa Taku
Anela Lane	Nglea Lane
Angel Koziupa	Angel Koziupa
Angela Lane	Angela Lane
Angela M. Cable	Angela M Cable
Angela Pestalozzi	Angela Pestalozzi
angela ullrich	Angela Ullrich
Angelica Figueroa	Angelica Figueroa
Angelina Sanchez	Angelina Sanchez
Angie Stokes	Angie Stokes
Anglea Lane	Anglea Lane
Angryblue	Angry blue
Angus R. Shamal	Angus R Shamal
Ania Cremer	Ania Cremer
Anirban Mitra	Anirban Mitra
Anja Escherich	Anja Escherich
Anja Gollor	Anja Gollor
Anke Arnold	Anke Arnold
Anke Schweiger	Anke Schweiger
Anko Mochitsuki	Anko Mochitsuki
ankokukoubou.com	ankokukoubou
Ann Chaisson	Ann Chaisson
Ann Pomeroy	Ann Pomeroy
Ann Stretton	Ann Stretton
Ann Westland	Ann Westland
Anna Giedrys	Anna Giedrys
Anna Holmdahl	Anna Holmdahl
Anna Maria Geals	Anna Maria Geals
Anna Morelli	Anna Morelli
Anna-Lisa Sch?necker	Anna Lisa Schonecker
Anna-Lisa Sch\232necker	Anna Lisa Schonecker
Anne Boskamp	Anne Boskamp
Annelena Grascht	Annelena Grascht
Annie A. de la Vega	Annie De La Vega
Annie Bastien	Annie Bastien
Annie De La Vega	Annie De La Vega
Annie Lang	Annie Lang
Annie Olsen	Annie Olsen
Anoop R	Anoop
Anny Mason	Anny Mason
Anthony Bossard	Anthony Bossard
Anthony De Meester	Antony De Meester
Anthony Dyer	Anthony Dyer
Anthony I. P. Owen	Anthony I P Owen
anthony i.p. owen	Anthony I P Owen
anthony monahan	Anthony Monahan
Anthony Robinson	Anthony Robinson
ANTJE WOLF	Antje Wolf
Anto J. Lareneg	Anto J Lareneg
Antoine Derouineau	Antoine Derouineau
Anton Bisiajew	Anton Bisiajew
Anton Bohlin	Anton Bohlin
Anton Dumbadze	Anton Dumbadze
Anton Koovit	Anton Koovit
Anton Kudin	Anton Kudin
Anton Scholtz	Anton Scholtz
Anton Studer	Anton Studer
Anton Terekhov	Anton Terekhov
Antoni Morillas	Antoni Morillas
Antonio Blado	Antonio Blado
Antonio Bucu	Antonio Bucu
Antonio Carusone	Antonio Carusone
Antonio DiSpigna	Antonio DiSpigna
antonio garcia	Antonio Garcia
antonio gonzalez	antonio gonzalez
Antonio Morata	Antonio Morata
Antonio Pace	Antonio Pace
Antoniya Kuneva	Antoniya Kuneva
Antony de Meester	Antony de Meester
Antony Squizzato	Antony Squizzato
Antti Toivanen	Antti Toivanen
Anubis	Anubis
Anuthin Wongsunkakon	Anuthin Wongsunkakon
Anwar Ibrahim	Anwar Ibrahim
aoki tetsu	Aoki Tetsu
AoyagiKouzan	Aoyagi Kouzan
Apostolos  Syropoulos	Apostolos Syropoulos
Apostolos Syropoulos	Apostolos Syropoulos
apostrofe@mail	Apostrophe
apostrophe (')	Apostrophe
apostrophe@home	Apostrophe
April Warner	April Warner
Apurva Ashar	Apurva Ashar
Apurva Joshi	Apurva Joshi
Aquillia	Aquillia
Arackel Ketchian	Arackel Ketchian
Aram Sotnas	Aram Sotnas
Arutyun  Kiremidzhyan	Arutyun  Kiremidzhyan
Archana Lothe	Archana Lothe
Arian Durst	Arian Durst
Ariel Di Lisio	Ariel Di Lisio
Arielle Wells 	Arielle Wells
Arisugava	Arisugava
Arjan Duijs	Arjan Duijs
Arkandis	Harendal Hirwen
Arlette Boutros	Arlette Boutros
Arlo Vance	Arlo Vance
Armin Retzko	Armin Retzko
Arne Freytag	Arne Freytag
Arnie Gabriel Gonzales	Arnie Gabriel Gonzales
Arno Drescher	Arno Drescher
Arno Teigseth	Arno Teigseth
Arnold Baudrit	Arnold H Baudrit
Arnold Hoepker Baudrit	Arnold H Baudrit
aron D. Schmiedel	Aaron D Schmiedel
Aron Jancso	Aron Jancso
Arran Corbett	Arran Corbett
arrf designs	Randy Ford
Art&Sign	Steve Contreras (dnd)
Artem Sukhinin	Artem Sukhinin
Arthur Baker	Arthur Baker
Arthur Druziani	Arthur Druziani
Arthur Durkee	Arthur Durkee
Arthur Folmer	Arthur Folmer
Arthur Lui	Arthur Lui
Arthur Ritzel	Arthur Ritzel
Arthur Sandrini	Arthur Sandrini
Arthur Vanson	Arthur Vanson
ArtieIII	Artie III
Artsy Lady	Artsy Lady
ArtsyLady	Artsy Lady
Artur Schmal	Artur Schmal
Arun Konanur	Arun Konanur
Arutyun Kiremidzhyan	Arutyun Kiremidzhyan
Aryel Filipe	Aryel Filipe
Asgeir J?nsson	Asgeir Junsson
Ashely Havinden	Ashley Havinden
Ashleigh Taylor	Ashleigh Taylor
Ashley Havinden	Ashley Havinden
Ashley Muir	Ashley Muir
